Pays;Annee_civile;Annee;G;L;H;Rdt
Sweden_b;2005;2;1;0;1;0.831
France;2006;3;1;0;1;1.942
Norway_a;2006;3;1;0;1;4.673
Sweden_b;2006;3;1;0;1;0.766
Belgium;2003;1;0;1;1;3.759
Iceland_a;2003;1;0;1;1;1.683
Sweden_a;2003;1;0;1;1;2.672
Belgium;2004;2;0;1;1;6.147
France;2004;1;0;1;1;4.195
Iceland_a;2004;2;0;1;1;0.917
Norway_a;2004;1;0;1;1;4.944
Sweden_a;2004;2;0;1;1;1.917
Sweden_b;2004;1;0;1;1;3.4
Belgium;2005;3;0;1;1;3.693
France;2005;2;0;1;1;6.515
Iceland_a;2005;3;0;1;1;1.297
Norway_a;2005;2;0;1;1;2.028
Sweden_a;2005;3;0;1;1;1.177
Sweden_b;2005;2;0;1;1;1.9
France;2006;3;0;1;1;4.982
Norway_a;2006;3;0;1;1;1.489
Sweden_b;2006;3;0;1;1;1.181
Belgium;2003;1;0;1;1;3.873
Iceland_a;2003;1;0;1;1;0.919
Sweden_a;2003;1;0;1;1;3.229
Belgium;2004;2;0;1;1;6.63
France;2004;1;0;1;1;3.748
Iceland_a;2004;2;0;1;1;0.806
Norway_a;2004;1;0;1;1;5.19
Sweden_a;2004;2;0;1;1;2.714
Sweden_b;2004;1;0;1;1;3.787
Belgium;2005;3;0;1;1;3.275
France;2005;2;0;1;1;5.787
Iceland_a;2005;3;0;1;1;0.77
Norway_a;2005;2;0;1;1;2.868
Sweden_a;2005;3;0;1;1;1.876
Sweden_b;2005;2;0;1;1;1.923
France;2006;3;0;1;1;4.835
Norway_a;2006;3;0;1;1;1.881
Sweden_b;2006;3;0;1;1;1.236
Belgium;2003;1;0.8;0.2;2.56;4.08
Iceland_a;2003;1;0.8;0.2;2.56;3.544
Sweden_a;2003;1;0.8;0.2;2.56;2.988
Belgium;2004;2;0.8;0.2;2.56;7.112
France;2004;1;0.8;0.2;2.56;3.284
Iceland_a;2004;2;0.8;0.2;2.56;1.874
Norway_a;2004;1;0.8;0.2;2.56;3.467
Sweden_a;2004;2;0.8;0.2;2.56;3.515
Sweden_b;2004;1;0.8;0.2;2.56;2.768
Belgium;2005;3;0.8;0.2;2.56;4.13
France;2005;2;0.8;0.2;2.56;5.056
Iceland_a;2005;3;0.8;0.2;2.56;1.656
Norway_a;2005;2;0.8;0.2;2.56;2.74
Sweden_a;2005;3;0.8;0.2;2.56;3.007
Sweden_b;2005;2;0.8;0.2;2.56;2.377
France;2006;3;0.8;0.2;2.56;4.297
Norway_a;2006;3;0.8;0.2;2.56;3.103
Sweden_b;2006;3;0.8;0.2;2.56;1.709
Belgium;2003;1;0.8;0.2;2.56;4.073
Iceland_a;2003;1;0.8;0.2;2.56;1.642
Sweden_a;2003;1;0.8;0.2;2.56;3.907
Belgium;2004;2;0.8;0.2;2.56;6.581
France;2004;1;0.8;0.2;2.56;2.171
Iceland_a;2004;2;0.8;0.2;2.56;1.212
Norway_a;2004;1;0.8;0.2;2.56;5.2
Sweden_a;2004;2;0.8;0.2;2.56;4.088
Sweden_b;2004;1;0.8;0.2;2.56;2.751
Belgium;2005;3;0.8;0.2;2.56;4.314
France;2005;2;0.8;0.2;2.56;3.397
Iceland_a;2005;3;0.8;0.2;2.56;1.351
Norway_a;2005;2;0.8;0.2;2.56;5.001
Sweden_a;2005;3;0.8;0.2;2.56;3.525
Sweden_b;2005;2;0.8;0.2;2.56;2.81
France;2006;3;0.8;0.2;2.56;2.5
Norway_a;2006;3;0.8;0.2;2.56;4.502
Sweden_b;2006;3;0.8;0.2;2.56;2.228
Belgium;2003;1;0.8;0.2;3.3;4.033
